LIGHT,2016 04 07 22:19:19,0401
LIGHT,2016 04 07 22:19:21,0402
LIGHT,2016 04 07 22:19:23,0401
LIGHT,2016 04 07 22:19:25,0402
LIGHT,2016 04 07 22:19:25,0402
LIGHT,2016 04 07 22:19:26,0401
LIGHT,2016 04 07 22:19:26,0401
LIGHT,2016 04 07 22:19:27,0401
LIGHT,2016 04 07 22:19:28,0402
LIGHT,2016 04 07 22:19:28,0402
LIGHT,2016 04 07 22:19:29,0401
LIGHT,2016 04 07 22:19:29,0401
LIGHT,2016 04 07 22:19:30,0399
LIGHT,2016 04 07 22:19:30,0399
LIGHT,2016 04 07 22:19:31,0401
LIGHT,2016 04 07 22:19:31,0401
LIGHT,2016 04 07 22:19:32,0401
LIGHT,2016 04 07 22:19:33,0402
LIGHT,2016 04 07 22:19:33,0402
LIGHT,2016 04 07 22:19:34,0401
LIGHT,2016 04 07 22:19:34,0401
LIGHT,2016 04 07 22:19:35,0402
LIGHT,2016 04 07 22:19:35,0402
LIGHT,2016 04 07 22:19:36,0401
LIGHT,2016 04 07 22:19:36,0401
LIGHT,2016 04 07 22:19:37,0400
LIGHT,2016 04 07 22:19:37,0400
LIGHT,2016 04 07 22:19:38,0401
LIGHT,2016 04 07 22:19:38,0401
LIGHT,2016 04 07 22:19:39,0400
LIGHT,2016 04 07 22:19:39,0400
LIGHT,2016 04 07 22:19:40,0400
LIGHT,2016 04 07 22:19:41,0402
LIGHT,2016 04 07 22:19:41,0402
LIGHT,2016 04 07 22:19:42,0401
LIGHT,2016 04 07 22:19:42,0401
LIGHT,2016 04 07 22:19:43,0401
LIGHT,2016 04 07 22:19:44,0401
LIGHT,2016 04 07 22:19:45,0405
LIGHT,2016 04 07 22:19:45,0405
LIGHT,2016 04 07 22:19:46,0401
LIGHT,2016 04 07 22:19:46,0401
LIGHT,2016 04 07 22:19:47,0401
LIGHT,2016 04 07 22:19:48,0401
LIGHT,2016 04 07 22:19:49,0401
LIGHT,2016 04 07 22:19:50,0401
LIGHT,2016 04 07 22:19:51,0401
LIGHT,2016 04 07 22:19:52,0401
LIGHT,2016 04 07 22:19:53,0401
LIGHT,2016 04 07 22:19:54,0401
LIGHT,2016 04 07 22:19:55,0401
LIGHT,2016 04 07 22:19:56,0401
LIGHT,2016 04 07 22:19:57,0401
LIGHT,2016 04 07 22:19:58,0400
LIGHT,2016 04 07 22:19:58,0400
LIGHT,2016 04 07 22:19:59,0400
LIGHT,2016 04 07 22:20:00,0400
LIGHT,2016 04 07 22:20:00,0401
LIGHT,2016 04 07 22:20:01,0401
LIGHT,2016 04 07 22:20:01,0400
LIGHT,2016 04 07 22:20:02,0400
LIGHT,2016 04 07 22:20:03,0401
LIGHT,2016 04 07 22:20:03,0401
LIGHT,2016 04 07 22:20:04,0401
LIGHT,2016 04 07 22:20:04,0400
LIGHT,2016 04 07 22:20:05,0400
LIGHT,2016 04 07 22:20:05,0401
LIGHT,2016 04 07 22:20:06,0401
LIGHT,2016 04 07 22:20:06,0401
LIGHT,2016 04 07 22:20:07,0401
LIGHT,2016 04 07 22:20:08,0400
LIGHT,2016 04 07 22:20:08,0400
LIGHT,2016 04 07 22:20:09,0400
LIGHT,2016 04 07 22:20:10,0403
LIGHT,2016 04 07 22:20:10,0403
